date,country,number of deaths
2016-04-05,Bangladesh,7
2016-04-04,Brasil,49
2016-04-04,Camerun,1
2016-04-04,China,1
2016-11-06,Colombia,37
2016-11-06,Guatemala,6
2016-11-06,Honduras,14
2016-01-07,India,16
2016-01-22,Iran,3
2016-01-23,Irlanda,1
2016-01-23,Malasia,1
2016-01-31,Mexico,3
2016-01-31,Myanmar,2
2016-02-01,Nicaragua,11
2016-02-01,Pakistan,1
2016-02-01,Peru,2
2016-02-04,Filipinas,28
2016-02-12,Sudafrica,2
2016-03-26,Tailandia,1
2016-03-31,Uganda,1
2016-04-07,Vietnam,1
2016-04-07,Zimbabue,1
2016-04-07,DRC,10
2016-04-07,Tanzania,1
